wallet,num_proposals,weight
0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,250,0.856164
0x300010ded7b789ab5764bb52dde82edd6d29908d,249,0.852740
0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,249,0.852740
0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,249,0.852740
0xf5fe364d18f4a5a53badce9a046ba74cfc97f6fb,248,0.849315
0x852271883ed42cc3f9d9559b05ab4784fc768e93,247,0.845890
0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,247,0.845890
0xdaa65da48a9357350dae0e5be286e60a8309020b,246,0.842466
0x4eb172821b5bc013269c4f6f6204f092d44197ec,245,0.839041
0xca7a6a53d5576102765a0281c723f863d881dc96,245,0.839041
0x0e05fc644943aae89dd3fec282c3f86431a7d090,244,0.835616
0x95a8cce18e2959ea8cbba9610a980c4200ce1fee,242,0.828767
0x984c48852f92288bd1afd6ff5d9c26e3d0a9339a,242,0.828767
0xa9be601f305b8f4325568f4c7a89bc94be815a57,242,0.828767
0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,241,0.825342
0x60c4ae0ee854a20ea7796a9678090767679b30fc,241,0.825342
0x8347eb85648d2079604010ddb7649ce1cea8c2fc,241,0.825342
0xe5465ced137ecf8c80bbf7a1e2f2bf457a12a466,241,0.825342
0x6c522c94c3f5b213ccf3298e03d5c947b760a2cb,240,0.821918
0xe6390b6188dedbaf7339672cc4d75ee825b2654e,240,0.821918
0x472d7e705f3baa44f82bff5b397330015d810828,239,0.818493
0x59fc6b4e064b62cc7aed200a71aef3eac36c1287,239,0.818493
0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,238,0.815068
0x7adac8d617d59d502cb109e5a809f0ec7cbb0751,238,0.815068
0xa60ca8a1400333468a736c7247baad6350c6496d,238,0.815068
0x071d217637b6322a7faac6895a9eb00e529d3424,237,0.811644
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,237,0.811644
0xdc2720a762c5bf9deeeb54460cc8fa8a2b62fac7,237,0.811644
0x07a009e9e98649bff954cf3032ceb3e21e020f49,236,0.808219
0x73e9c88d26343eca36bb1297cfd0f8d6f02ff8ea,236,0.808219
0xfab9718db7cee30bad26157bf0500894fefbaab8,236,0.808219
0x14e495f1c792185c4491b2317a02f3c3c6775c82,235,0.804795
0x551486c2335d027662b4c603ac203d7a7b30320e,235,0.804795
0xd8f35ef085d202fa7cad0e0c61da737b60e1f855,235,0.804795
0x33c01376c5f53a2b9d623b833f2f77f9b118a8c0,234,0.801370
0x478fa4c971a077038b4fc5c172c3af5552224ccc,234,0.801370
0x79f563398ff8a5a5ff18650e56b9bac8be84bfa5,234,0.801370
0x7d1368528d8dd105368c91700f1ac30d81628794,234,0.801370
0xd36ecaa12a7349a20230a6b6f4aec070f875eabc,234,0.801370
0x579361d2636152df34db1d6dfd343f5037ddc71d,232,0.794521
0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,232,0.794521
0x2a8d763a923d546e0a73c954a08be37978e380cc,231,0.791096
0x3aef590df6febaa81477c1cea3009bb9e096730c,230,0.787671
0x54fd0462b48f4758331357239546a799294f0b7c,230,0.787671
0xa532f169cee0e551d4da641031ac78fd85461035,230,0.787671
0xae79077d8d922d071797a7f8849430fed488c005,230,0.787671
0xdf631777df4debcbcd647e85bdcb868b43663ba0,230,0.787671
