position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
3541,17101,"""17101"",",Cryptogotchi,522,2720,3985,9,2,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,3,0
3542,12430,"""12430"",","Indiana ""Indy"" Jones",558,2720,3985,9,2,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,3,0
3543,18957,"""18957"",",KING_18957,497,2813,3270,9,2,0xcd743104d7e15d6a0b297337db75b015deea5531,0xcd743104d7e15d6a0b297337db75b015deea5531,3,0
3544,24551,"""24551"",","-+-- Cleaver,Healer,Troll",560,2720,3130,8,2,0x6f88d648e83a1a4b2e9d61304c9ce5d1ea9a9ca9,0x6f88d648e83a1a4b2e9d61304c9ce5d1ea9a9ca9,3,0
3545,2671,"""2671"",",MY GOTCHI,513,2720,1460,6,1,0x5224f2ffd737c8561dda49a546d26662b1aad7b5,0x5224f2ffd737c8561dda49a546d26662b1aad7b5,3,0
3546,14399,"""14399"",",KING_14399,496,2812,3390,9,2,0xcd743104d7e15d6a0b297337db75b015deea5531,0xcd743104d7e15d6a0b297337db75b015deea5531,3,0
3547,1433,"""1433"",",Don Radoni,541,2812,3320,9,1,0xddf62985460d782f76adfbc1e36b08aaed605cfd,0xddf62985460d782f76adfbc1e36b08aaed605cfd,3,0
3548,15458,"""15458"",",xmamba,508,2719,3120,8,2,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,3,0
3549,8403,"""8403"",",Because I can,614,2719,2460,8,1,0x59e9f8f07f9d339c48c8521af341a1a2337a9e22,0x59e9f8f07f9d339c48c8521af341a1a2337a9e22,3,0
3550,18383,"""18383"",",Eligius,582,2741,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3551,20255,"""20255"",",not gonna make it,465,2741,2290,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3552,2245,"""2245"",",Spikey,510,2812,2050,7,1,0xee75fb8eb9e1f3692625a8933cf539cf9f1cfcc7,0xee75fb8eb9e1f3692625a8933cf539cf9f1cfcc7,3,0
3553,14628,"""14628"",",Butch,576,2718,4500,10,2,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,3,44690000000000003000
3554,23791,"""23791"",",Cowboy Joe,541,2718,3930,9,2,0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,3,0
3555,24640,"""24640"",",decode,564,2718,3650,9,2,0x7d1368528d8dd105368c91700f1ac30d81628794,0x7d1368528d8dd105368c91700f1ac30d81628794,3,15955000000000000000
3556,11134,"""11134"",",Realm Aadventurer,551,2718,3000,8,2,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,3,0
3557,14582,"""14582"",",Failed Transaction,541,2718,2890,8,2,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,3,33537499999999999000
3558,20434,"""20434"",",Nic,521,2740,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3559,14443,"""14443"",",bb-5,512,2773,4365,10,2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,3,0
3560,12416,"""12416"",",Mewto,482,2717,3985,9,2,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,3,0
3561,20582,"""20582"",",Nure-onna,550,2717,3780,9,2,0x07a009e9e98649bff954cf3032ceb3e21e020f49,0x07a009e9e98649bff954cf3032ceb3e21e020f49,3,0
3562,7533,"""7533"",",Hugo,562,2717,3240,9,1,0x34ec9c1d89ce8afa701d079fd908fca95f49667a,0x34ec9c1d89ce8afa701d079fd908fca95f49667a,3,0
3563,12550,"""12550"",",Passion,549,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3564,12228,"""12228"",",CT,507,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3565,13015,"""13015"",",S2000,523,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3566,20810,"""20810"",",Crossroads,512,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3567,21559,"""21559"",",Halving,514,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3568,21390,"""21390"",",Anytime,507,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3569,11714,"""11714"",",pplpleasr,509,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3570,21142,"""21142"",",EIP-1559,510,2739,2300,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3571,13770,"""13770"",",Corn,534,2739,2290,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3572,13336,"""13336"",",Wired,489,2739,2290,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
3573,21015,"""21015"",",Steak,530,2739,2290,7,2,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,3,0
