position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
6190,13713,"""13713"",",buterin,480,1583,2630,8,2,0xd4e42e41fca01464d36a44acab98d2aa1447e8f4,0xd4e42e41fca01464d36a44acab98d2aa1447e8f4,3,0
6191,21067,"""21067"",",FOXY GOTCHI,541,2540,2630,8,2,0x4eb172821b5bc013269c4f6f6204f092d44197ec,0x4eb172821b5bc013269c4f6f6204f092d44197ec,3,0
6192,23408,"""23408"",",Coin98,506,2402,2630,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
6193,24798,"""24798"",",$GHOST,583,1932,2630,8,2,0x8628d73d3f950abde99739ef34b6cfa10394f579,0x8628d73d3f950abde99739ef34b6cfa10394f579,3,0
6194,14274,"""14274"",",Unlucky,468,2479,2630,8,2,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,3,0
6195,9583,"""9583"",",Wisp,505,1759,2630,8,1,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,3,0
6196,10638,"""10638"",",Please GONE,533,1216,2630,8,2,0xdb10d21f28a34fd04e4425eac777483798f7e217,0xdb10d21f28a34fd04e4425eac777483798f7e217,3,0
6197,16609,"""16609"",",NiGHTS,501,2341,2630,8,2,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,3,0
6198,12302,"""12302"",",User.Default,504,2396,2630,8,2,0x2127aa7265d573aa467f1d73554d17890b872e76,0x2127aa7265d573aa467f1d73554d17890b872e76,3,0
6199,13953,"""13953"",",EGO BUSTER,505,2048,2630,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
6200,15892,"""15892"",",SKALE Network,508,2099,2630,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
