position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
5259,22362,"""22362"",",Etheegotchi,541,2905,4250,10,2,0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,3,62552499999999997000
5260,2713,"""2713"",",Julian Hosp,541,2898,2930,8,1,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
5261,5903,"""5903"",",VB,541,2889,4070,10,1,0x60c4ae0ee854a20ea7796a9678090767679b30fc,0x60c4ae0ee854a20ea7796a9678090767679b30fc,3,0
5262,8086,"""8086"",",AKKU AIZEN,541,2868,4370,10,1,0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,3,0
5263,14594,"""14594"",",Utopian,541,2857,4080,10,2,0xc727bff1962590c71a6cb56c6d11f37bee740a5d,0xc727bff1962590c71a6cb56c6d11f37bee740a5d,3,0
5264,8110,"""8110"",",Booterin V,541,2854,3305,9,1,0x00d672e53e8e9bcd4ee4bb2f05032b3c25e3c04c,0x00d672e53e8e9bcd4ee4bb2f05032b3c25e3c04c,3,12640000000000000000
5265,4706,"""4706"",",Spiderman,541,2929,1915,7,1,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,3,0
5266,21938,"""21938"",",ETH Magic,541,2829,3090,8,2,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,3,0
5267,10051,"""10051"",",DAIVINCI,541,2786,4055,10,2,0x071d217637b6322a7faac6895a9eb00e529d3424,0x071d217637b6322a7faac6895a9eb00e529d3424,3,0
5268,16895,"""16895"",",Barakuda,541,2769,3710,9,2,0x6f88d648e83a1a4b2e9d61304c9ce5d1ea9a9ca9,0x6f88d648e83a1a4b2e9d61304c9ce5d1ea9a9ca9,3,0
