wallet,combinedVP
0x3b3120e283c08daabb5e3f240e008387ef8a67db,7693
0x3c25ae7dae49b3c24439549928bfc1df60a0ad20,33271.379104995394
0x3c2b45d1a4accb2c639c35bd0106d45c20424e8e,3777.524225481336
0x3ca2e945a3bc25399c75f49e9e45d34d897c1041,10593.816941420728
0x3d3d9e2f292ab523d2c518813be4416d1d641621,36804.04293420789
0x3e01cbe85caddb812a0483335f69815dafcb8eb7,34111.74090285771
0x3e35faae5fb365cad9fa38e54784b98567a6d765,7130.396577949371
0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,11618.014232273741
0x409ceb81bb143a400b02445ca273b37720b7665e,25302.00880117221
0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,240190.5075
0x40e8d8e881398049a14f31211b48318ea96341e3,1578.4475000000002
0x4117f0db169b126a44fca628de4223c264ad6f19,1046.8400564868548
0x415817fe2945611ea8d9c698a2d8bec4c5a6b68f,64.73652202265279
0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,135663.85121581014
0x417aff82d2cd9fd39fe790af5798ae865fbe8c48,58565.66423683401
0x435d821ee5b346850545cb18443ca9808a9d47d0,7113.220927069877
0x4362a29e330427d951f1aa58d7e3e86ac9e4b4e1,0
0x43fbf8dd759778a54fd50c3f0aadfbf47c490451,24539
0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,49560.75990099594
0x451d5140852b90ba1f337d9094a359323341fad2,46923.53766973628
0x46860b4dfe30ce16e6c3100c1be4344cd5941959,23884.042319828768
0x472d7e705f3baa44f82bff5b397330015d810828,23300.288660777755
0x478fa4c971a077038b4fc5c172c3af5552224ccc,7409.4425
0x47d6f96ba098816389db7c87cbf077de7181b853,118571.73787957065
0x498a5c82ad174675f8c90ce3b07a5355fbf985ce,0
0x49a338c8a8c92f3f7e5a4700a191bb41595591b2,4733.265118212491
0x4a32007040567190bed4fa6ff3f5a03c0d47c9d7,6483.997715844446
