wallet,combinedVP,votingPercentage,rewardVP,rewardWeightedVP,rewardRF,rewardTotal
0x17a3831b39cc557296d0c322f9c2d42c0b3a8f3f,59370.0964946123,0.6825940000,1.8347233714,1.9055334502,2.4486710747,6.1889278963
0x071d217637b6322a7faac6895a9eb00e529d3424,65049.1497515767,0.8122870000,2.0102240418,2.4844913135,1.4039756066,5.8986909619
0x35001a8bdb3a224d05f086094c12fd4c9009986d,39539.0000000000,0.9965870000,1.2218798968,1.8527945069,2.8185858272,5.8932602309
0x07a009e9e98649bff954cf3032ceb3e21e020f49,67775.3587249074,0.8088740000,2.0944725038,2.5777396776,1.1382032279,5.8104154092
0x262944448ec574dd5f82136964bbf189cc1ab579,38408.0000000000,0.9351540000,1.1869284271,1.6888504130,2.4160402844,5.2918191244
0xb9ff017c875f5c39d0018d1df86fbd92943d5b82,56973.5325000000,0.7542660000,1.7606619797,2.0206171498,1.4674783615,5.2487574910
0xce3214768474f006c50189d2d9583f19e3791f96,100763.0282779253,0.2696250000,3.1138956119,1.2774612191,0.8461218115,5.2374786424
0xe88632728ed377f556cb964e6f670f6017d497e4,59937.2925539281,0.7440270000,1.8522515198,2.0968732188,1.1937582122,5.1428829508
0x852271883ed42cc3f9d9559b05ab4784fc768e93,55941.1203435898,0.8464160000,1.7287571854,2.2263907028,1.0738226660,5.0289705542
0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,49560.7599009959,0.9829350000,1.5315839094,2.2905992374,1.0971347090,4.9193178559
0x77427023e70cafd983dabaf3488d8d83ecb15b96,47375.0481041476,0.9419800000,1.4640385162,2.0983488999,1.2382637174,4.8006511335
0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,51074.8201687292,0.8532420000,1.5783731505,2.0491107268,1.0735563427,4.7010402200
0xf8c82ff30d2ace28e34d2101d4aed3a2a872d50f,61564.7779781343,0.3515360000,1.9025459563,1.0176266688,1.7702410491,4.6904136741
0xf5bd90d482928829548a6f3b95f5adb70591e93e,69182.1558489956,0.3447100000,2.1379469752,1.1213322927,1.3809236263,4.6402028942
0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,38557.5808136780,1.0000000000,1.1915509463,1.8129930243,1.5978039939,4.6023479645
0x0e05fc644943aae89dd3fec282c3f86431a7d090,58845.1108497705,0.8327650000,1.8184996579,2.3041948677,0.3765538990,4.4992484246
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,48566.1455000000,0.9249150000,1.5008471851,2.1121356892,0.8173383212,4.4303211955
0xdf631777df4debcbcd647e85bdcb868b43663ba0,56177.4425000000,0.7849830000,1.7360602860,2.0735216345,0.5974795355,4.4070614559
